#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1020	vanilla_PRS_1e-3	bin	PRS	5.144907e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-3	bin	PRS_and_covars	6.816446e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-4	bin	covars	6.815953e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-4	bin	PRS	5.328393e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-4	bin	PRS_and_covars	6.811416e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-5	bin	covars	6.815953e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-5	bin	PRS	5.241036e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1020	vanilla_PRS_1e-5	bin	PRS_and_covars	6.820920e-01	large_bowel_cancer/colorectal_cancer	4382
cancer1022	vanilla_PRS_1e-3	bin	covars	6.820133e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-3	bin	PRS	5.089207e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-3	bin	PRS_and_covars	6.819559e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-4	bin	covars	6.820133e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-4	bin	PRS	5.074085e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-4	bin	PRS_and_covars	6.819447e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-5	bin	covars	6.820133e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-5	bin	PRS	5.066793e-01	colon_cancer/sigmoid_cancer	3251
cancer1022	vanilla_PRS_1e-5	bin	PRS_and_covars	6.819574e-01	colon_cancer/sigmoid_cancer	3251
cancer1023	vanilla_PRS_1e-3	bin	covars	6.956243e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-3	bin	PRS	5.186863e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-3	bin	PRS_and_covars	6.956240e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-4	bin	covars	6.956243e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-4	bin	PRS	5.171529e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-4	bin	PRS_and_covars	6.956284e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-5	bin	covars	6.956243e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-5	bin	PRS	5.206163e-01	rectal_cancer	2026
cancer1023	vanilla_PRS_1e-5	bin	PRS_and_covars	6.957484e-01	rectal_cancer	2026
cancer1024	vanilla_PRS_1e-3	bin	covars	7.447307e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-3	bin	PRS	5.007142e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-3	bin	PRS_and_covars	7.448570e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-4	bin	covars	7.447307e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-4	bin	PRS	5.093540e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-4	bin	PRS_and_covars	7.447290e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-5	bin	covars	7.447307e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-5	bin	PRS	5.306430e-01	liver/hepatocellular_cancer	437
cancer1024	vanilla_PRS_1e-5	bin	PRS_and_covars	7.447775e-01	liver/hepatocellular_cancer	437
cancer1025	vanilla_PRS_1e-3	bin	covars	6.732392e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-3	bin	PRS	5.583627e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-3	bin	PRS_and_covars	6.732756e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-4	bin	covars	6.732392e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-4	bin	PRS	5.236866e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-4	bin	PRS_and_covars	6.732652e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-5	bin	covars	6.732392e-01	gallbladder/bile_duct_cancer	203
cancer1025	vanilla_PRS_1e-5	bin	PRS	5.340969e-01	gallbladder/bile_duct_cancer	203
