#Population	GBE_ID	PRS_model	phe_type	features	R_or_AUC
s_asian	Sodium_in_urine	snpnet	qt	Covariates_only	2.110459e-01
s_asian	Sodium_in_urine	snpnet	qt	Genotype_and_covariates	2.163823e-01
s_asian	Sodium_in_urine	snpnet	qt	Genotype_only	4.426344e-02
s_asian	Testosterone	snpnet	qt	Covariates_only	8.319948e-01
s_asian	Testosterone	snpnet	qt	Genotype_and_covariates	8.361026e-01
s_asian	Testosterone	snpnet	qt	Genotype_only	8.651481e-02
s_asian	Testosterone_adjstatins	snpnet	qt	Covariates_only	8.298215e-01
s_asian	Testosterone_adjstatins	snpnet	qt	Genotype_and_covariates	8.339268e-01
s_asian	Testosterone_adjstatins	snpnet	qt	Genotype_only	8.497317e-02
s_asian	Total_protein	snpnet	qt	Covariates_only	3.699766e-01
s_asian	Total_protein	snpnet	qt	Genotype_and_covariates	2.722293e-01
s_asian	Total_protein	snpnet	qt	Genotype_only	4.176817e-02
s_asian	Total_protein_adjstatins	snpnet	qt	Covariates_only	3.582317e-01
s_asian	Total_protein_adjstatins	snpnet	qt	Genotype_and_covariates	2.689742e-01
s_asian	Total_protein_adjstatins	snpnet	qt	Genotype_only	3.879242e-02
s_asian	Triglycerides	snpnet	qt	Covariates_only	2.057651e-01
s_asian	Triglycerides	snpnet	qt	Genotype_and_covariates	3.424721e-01
s_asian	Triglycerides	snpnet	qt	Genotype_only	2.775191e-01
s_asian	Urate	snpnet	qt	Covariates_only	4.772877e-01
s_asian	Urate	snpnet	qt	Genotype_and_covariates	5.499328e-01
s_asian	Urate	snpnet	qt	Genotype_only	2.714514e-01
s_asian	Urea	snpnet	qt	Covariates_only	2.930933e-01
s_asian	Urea	snpnet	qt	Genotype_and_covariates	3.204586e-01
s_asian	Urea	snpnet	qt	Genotype_only	1.295200e-01
s_asian	Urea_adjstatins	snpnet	qt	Covariates_only	2.748262e-01
s_asian	Urea_adjstatins	snpnet	qt	Genotype_and_covariates	3.048560e-01
