#GBE_ID	run_name	max_valid_idx	largest_mem
BIN_FC10020521	BIN.401-737	0	120000
BIN_FC10020522	BIN.401-737	0	120000
BIN_FC10020524	BIN.401-737	0	120000
BIN_FC10020525	BIN.401-737	0	120000
BIN_FC10020526	BIN.401-737	1	120000
BIN_FC10020528	BIN.401-737	0	120000
BIN_FC10020529	BIN.401-737	1	120000
BIN_FC10020531	BIN.401-737	0	120000
BIN_FC10020543	BIN.401-737	0	480000
BIN_FC10020544	BIN.401-737	0	120000
BIN_FC10020546	BIN.401-737	0	120000
BIN_FC10020547	BIN.401-737	0	120000
BIN_FC10020549	BIN.401-737	0	120000
BIN_FC10020550	BIN.401-737	0	120000
BIN_FC10020551	BIN.401-737	0	120000
BIN_FC10021072	BIN.401-737	0	120000
BIN_FC10100920	BIN.401-737	0	120000
BIN_FC10110005	BIN.401-737	0	120000
BIN_FC11006154	BIN.401-737	0	120000
BIN_FC120020544	BIN.401-737	0	120000
BIN_FC12006179	BIN.401-737	0	120000
BIN_FC130020544	BIN.401-737	0	120000
BIN_FC13006155	BIN.401-737	0	120000
BIN_FC150020544	BIN.401-737	0	120000
BIN_FC16006155	BIN.401-737	0	120000
BIN_FC170020544	BIN.401-737	0	120000
BIN_FC19006155	BIN.401-737	0	120000
BIN_FC20001140	BIN.401-737	0	120000
BIN_FC20001150	BIN.401-737	0	120000
BIN_FC20001418	BIN.401-737	0	120000
BIN_FC20001538	BIN.401-737	1	120000
BIN_FC20001628	BIN.401-737	0	120000
BIN_FC20001707	BIN.401-737	0	480000
BIN_FC20002654	BIN.401-737	0	120000
BIN_FC20002877	BIN.401-737	2	120000
BIN_FC20003082	BIN.401-737	1	120000
BIN_FC20004825	BIN.401-737	0	120000
BIN_FC20005832	BIN.401-737	1	120000
BIN_FC20005855	BIN.401-737	1	120000
BIN_FC20005934	BIN.401-737	1	120000
BIN_FC20006157	BIN.401-737	2	120000
BIN_FC20006164	BIN.401-737	0	120000
BIN_FC20012323	BIN.401-737	1	120000
BIN_FC20020116	BIN.401-737	34	480000
BIN_FC20020117	BIN.401-737	0	120000
BIN_FC20020122	BIN.401-737	0	480000
BIN_FC20020488	BIN.401-737	0	120000
BIN_FC20020489	BIN.401-737	0	120000
BIN_FC20020490	BIN.401-737	0	120000
BIN_FC20020521	BIN.401-737	1	120000
BIN_FC20020523	BIN.401-737	0	120000
BIN_FC20020524	BIN.401-737	0	120000
BIN_FC20020525	BIN.401-737	0	120000
BIN_FC20020527	BIN.401-737	1	120000
BIN_FC20020528	BIN.401-737	0	120000
BIN_FC20020531	BIN.401-737	0	120000
BIN_FC20020546	BIN.401-737	0	120000
BIN_FC20020547	BIN.401-737	0	120000
BIN_FC20020549	BIN.401-737	1	120000
BIN_FC20020550	BIN.401-737	0	120000
BIN_FC20020552	BIN.401-737	0	120000
BIN_FC30001140	BIN.401-737	0	120000
BIN_FC30001150	BIN.401-737	0	120000
BIN_FC30001249	BIN.401-737	0	120000
BIN_FC30001428	BIN.401-737	0	120000
BIN_FC30001448	BIN.401-737	0	120000
BIN_FC30001468	BIN.401-737	0	120000
BIN_FC30001628	BIN.401-737	0	120000
BIN_FC30001757	BIN.401-737	47	480000
BIN_FC30002877	BIN.401-737	2	120000
BIN_FC30004836	BIN.401-737	0	120000
BIN_FC30006151	BIN.401-737	1	120000
BIN_FC30006157	BIN.401-737	0	120000
BIN_FC30006160	BIN.401-737	1	120000
BIN_FC30020116	BIN.401-737	0	120000
BIN_FC30020117	BIN.401-737	0	120000
BIN_FC30020122	BIN.401-737	0	480000
BIN_FC30020488	BIN.401-737	0	120000
