#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name	N
cancer1048	snpnet_PRS	bin	Genotype_only	5.235542e-01	leukaemia	870
cancer1050	snpnet_PRS	bin	Covariates_only	6.481761e-01	multiple_myeloma	501
cancer1050	snpnet_PRS	bin	Genotype_and_covariates	6.289727e-01	multiple_myeloma	501
cancer1050	snpnet_PRS	bin	Genotype_only	5.536917e-01	multiple_myeloma	501
cancer1052	snpnet_PRS	bin	Covariates_only	5.215682e-01	hodgkins_lymphoma_/_hodgkins_disease	432
cancer1052	snpnet_PRS	bin	Genotype_and_covariates	5.215682e-01	hodgkins_lymphoma_/_hodgkins_disease	432
cancer1052	snpnet_PRS	bin	Genotype_only	5.000000e-01	hodgkins_lymphoma_/_hodgkins_disease	432
cancer1053	snpnet_PRS	bin	Covariates_only	6.325762e-01	non-hodgkins_lymphoma	1429
cancer1053	snpnet_PRS	bin	Genotype_and_covariates	6.357175e-01	non-hodgkins_lymphoma	1429
cancer1053	snpnet_PRS	bin	Genotype_only	5.283092e-01	non-hodgkins_lymphoma	1429
cancer1055	snpnet_PRS	bin	Covariates_only	6.656861e-01	chronic_lymphocytic	596
cancer1055	snpnet_PRS	bin	Genotype_and_covariates	6.588550e-01	chronic_lymphocytic	596
cancer1055	snpnet_PRS	bin	Genotype_only	5.055680e-01	chronic_lymphocytic	596
cancer1056	snpnet_PRS	bin	Covariates_only	6.575921e-01	chronic_myeloid	413
cancer1056	snpnet_PRS	bin	Genotype_and_covariates	6.575921e-01	chronic_myeloid	413
cancer1056	snpnet_PRS	bin	Genotype_only	5.224149e-01	chronic_myeloid	413
cancer1059	snpnet_PRS	bin	Covariates_only	5.689306e-01	malignant_melanoma	4099
cancer1059	snpnet_PRS	bin	Genotype_and_covariates	6.066221e-01	malignant_melanoma	4099
cancer1059	snpnet_PRS	bin	Genotype_only	5.998252e-01	malignant_melanoma	4099
cancer1060	snpnet_PRS	bin	Covariates_only	6.658344e-01	non-melanoma_skin_cancer	16791
cancer1060	snpnet_PRS	bin	Genotype_and_covariates	7.042109e-01	non-melanoma_skin_cancer	16791
cancer1060	snpnet_PRS	bin	Genotype_only	6.249735e-01	non-melanoma_skin_cancer	16791
cancer1063	snpnet_PRS	bin	Covariates_only	5.782400e-01	primary_bone_cancer	208
cancer1063	snpnet_PRS	bin	Genotype_and_covariates	6.002051e-01	primary_bone_cancer	208
cancer1063	snpnet_PRS	bin	Genotype_only	5.579292e-01	primary_bone_cancer	208
cancer1064	snpnet_PRS	bin	Covariates_only	7.820977e-01	mesothelioma	181
